Plant species,Type,Colour,Climate,Fruiting,Thorned,Size,Flowering,Difficulty,Rarity,Price
Duck weed,Aquatic Plant,Green,"Tropical, Arid, Temperate",No,No,Tiny,No,1/10,Common,$1-$3
Lemon Tree,Fruiting Tree,"Yellow, Green, Brown",Temperate,Yes,Yes,Medium/Large,Yes,5/10,Rare,$50-$60
Lavender,Flower,"Purple, Green",Temperate,No,No,Small/Tiny,Yes,3/10,Uncommon,$25-$60
Passion Fruit,Vines,"Purple, Yellow, Green, White",Tropical,Yes,No,Medium,Yes,4/10,Rare,$1-$30
Pumpkin,Vegetable/Vine,"Yellow/Orange/Green, Brown",Temperate,Yes,No,Medium,Yes,3/10,Uncommon,$2-$30
String-of-Dolphins,Succulent,"Green, White, Yellow",Arid,No,No,Tiny,Yes,2/10,Uncommon,$5-$15
String-of-Pearls,Succulent,Green,Arid,No,No,Tiny,Yes(rare),2/10,Uncommon,$3-$10
Water Lettuce,Aquatic Plant,Green,Tropical/Temperate,No,No,Small,No,1/10,Common,$1-$2
Chocolate Vine,Vines,"Purple, White, Green",Temperate,Yes,No,Medium,Yes,4/10,Rare,$15-$20
Dragon Fruit,Vines/Succulent,"Yellow, Red, Green",Arid,Yes,Sometimes,Large,Yes,6/10,Rare,$9-$15
Travelers Palm,Tree,"Green, Brown","Temperate, Tropical",Yes,No,Large,No,3/10,Uncommon,$20-$150
Prickly Pear,Succulent,"Red, Green, Blue",Arid,Yes,Yes,Medium,Yes,3/10,Uncommon,~$15
Morning Glory,Vine,"Blue, Green","Tropical, temperate",No,No,Medium,Yes,6/10,Rare,$2-$7
Queen of the night,Succulent,"White, Yellow, Green","Tropical, Arid",Yes,No,Medium,Yes,6/10,Rare,$8-$15
Natsurium,Flower,Any colour,"Temperate, Arid",No,No,Small,Yes,2/10,Common,$7-$12
Blue Agave,Succulent,Blue,"Tropical, Arid, Temperate",Yes(but not edible),Yes,Large,Yes,7/10,Rare,$10-$25
